condition_id,a,c,eta,regime,policy,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high,median_first_instability,mean_terminal_psi,sem_terminal_psi,mean_intervention_rate
7,0.2,0.05,0.2097915434654051,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.04770499693730625,0.00018698562636714362,0.0
7,0.2,0.05,0.2097915434654051,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04259156817316319,0.00019813806889971606,0.4416666666666666
7,0.2,0.05,0.1697915434654051,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10419731465111734,0.00047182960200542104,0.43111111111111117
7,0.2,0.05,0.1697915434654051,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.020176777384324846,0.00020690587529014528,0.0
7,0.2,0.05,0.1697915434654051,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10818160107188073,0.00020125089835080576,0.4333333333333334
8,0.25,0.01,0.190826871340402,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.054036447766693696,0.0004791056909770251,0.44297222222222227
8,0.25,0.01,0.190826871340402,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.048242179400343206,0.00019940238773245194,0.0
8,0.25,0.01,0.190826871340402,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04237155693338026,0.0002103284823014763,0.4416666666666666
8,0.25,0.01,0.15082687134040199,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10322052360603444,0.0004472620017468591,0.43116666666666675
8,0.25,0.01,0.15082687134040199,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.019707335146195337,0.0002097566132070631,0.0
8,0.25,0.01,0.15082687134040199,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10758886432671112,0.00019897835109928256,0.4333333333333334
9,0.25,0.02,0.17636005366426297,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05346699304151602,0.000467289643365349,0.4432500000000001
9,0.25,0.02,0.17636005366426297,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.0483350287595789,0.0001954054782310587,0.0
